,Student,NRIC,Student ID,GPA,Address,Age,PCI
0,Andy,S1234567G,2341928,3.3,32 Red Street,22,4492
1,John,S3291485F,2058483,4.6,64 White Avenue,23,4425
2,Derek,S2397412U,2958910,3.9,48 Black Street,23,6415
3,Syabil,S1231235D,2589347,4.4,26 Green Street,23,3581
4,Tom,S0123859X,2859384,2.8,66 Red Avenue,21,5154
5,Xavier,S1238158P,2857344,3.6,84 Yellow Street,20,6852
6,Randy,S1274839H,2478451,4.1,73 Black Avenue,21,3345
7,Ben,T0012381N,2857654,4.8,11 Green Street,25,4125
8,Howard,S9123857Z,2128734,3.4,13 Red Avenue,24,3564
9,Fara,T0145452B,2588834,4.8,88 Black Street,20,4000
10,Isaiah,S8901312C,2034484,4.8,69 Red Street,32,6020
11,Jones,S9678266F,2210454,4.9,47 Green Avenue,25,6423
12,Hans,S8934231I,1903467,3.8,12 Blue Avenue,32,3540
13,Phua,T0100134E,213487,4.4,10 Pink Street,20,2000
15,Billie,S9967328E,2013357,0.0,90 Indigo Avenue,22,10000
16,Mike,S9088568C,2855804,2.7,69 Yellow Street,24,5521
17,Carly,S9423678B,2078348,4.8,49 Emerald View,27,3500
18,Earl,T0038250D,2137641,5.0,30 Avenue Street,21,8100
19,Gary,S9807483I,1994782,4.7,44 Black Avenue,23,7099
